index_date,index_place,index_product,index_value,base_volume,base_amount,base_trades
2023-02-01,DAL,DTL,60052.0,0,0,0
2023-02-01,DAL,DTM,0.0,0,0,0
2023-02-01,DAL,DTZ,50139.0,10920,547522885,127
2023-02-01,EVR,DTL,41957.0,3255,136570200,31
2023-02-01,EVR,DTM,41965.0,15535,651932905,168
2023-02-01,EVR,DTZ,44648.0,8970,400493015,88
2023-02-01,SIB,DTL,43305.0,3005,130130770,28
2023-02-01,SIB,DTM,41126.0,5135,211180255,57
2023-02-01,SIB,DTZ,47772.0,12155,580672625,127
2023-02-02,DAL,DTL,60052.0,0,0,0
2023-02-02,DAL,DTM,0.0,0,0,0
2023-02-02,DAL,DTZ,49363.0,10660,526212115,122
2023-02-02,EVR,DTL,40813.0,4525,184677700,36
2023-02-02,EVR,DTM,41422.0,14365,595030280,166
2023-02-02,EVR,DTZ,44107.0,9815,432911245,84
2023-02-02,SIB,DTL,41528.0,3980,165279710,36
2023-02-02,SIB,DTM,40253.0,4355,175303830,54
2023-02-02,SIB,DTZ,46828.0,13130,614853785,122
2023-02-03,DAL,DTL,60052.0,0,0,0
2023-02-03,DAL,DTM,0.0,0,0,0
2023-02-03,DAL,DTZ,49804.0,10465,521194050,113
2023-02-03,EVR,DTL,41342.0,7030,290633580,47
2023-02-03,EVR,DTM,41354.0,17420,720388890,196
2023-02-03,EVR,DTZ,43787.0,8905,389919400,81
2023-02-03,SIB,DTL,41934.0,4410,184926760,35
2023-02-03,SIB,DTM,40296.0,5135,206919245,59
2023-02-03,SIB,DTZ,47296.0,11310,534915810,116
2023-02-06,DAL,DTL,60052.0,0,0,0
2023-02-06,DAL,DTM,0.0,0,0,0
2023-02-06,DAL,DTZ,49808.0,10530,524479735,123
2023-02-06,EVR,DTL,41416.0,5595,231723175,49
2023-02-06,EVR,DTM,41052.0,18200,747153225,210
2023-02-06,EVR,DTZ,42463.0,7670,325691925,87
2023-02-06,SIB,DTL,42128.0,4050,170617825,35
2023-02-06,SIB,DTM,40165.0,5590,224524950,71
2023-02-06,SIB,DTZ,47156.0,11570,545592255,121
2023-02-07,DAL,DTL,60052.0,0,0,0
2023-02-07,DAL,DTM,0.0,0,0,0
2023-02-07,DAL,DTZ,49768.0,10725,533764530,130
2023-02-07,EVR,DTL,41100.0,9120,374828885,66
2023-02-07,EVR,DTM,41105.0,15470,635897665,171
2023-02-07,EVR,DTZ,42211.0,9035,381372290,91
2023-02-07,SIB,DTL,42431.0,3970,168452050,36
2023-02-07,SIB,DTM,40714.0,5850,238174690,65
2023-02-07,SIB,DTZ,46675.0,13065,609813165,133
2023-02-08,DAL,DTL,60052.0,0,0,0
2023-02-08,DAL,DTM,0.0,0,0,0
2023-02-08,DAL,DTZ,50883.0,10530,535800655,147
2023-02-08,EVR,DTL,42102.0,5925,249455035,50
2023-02-08,EVR,DTM,41573.0,23530,978222180,197
2023-02-08,EVR,DTZ,42950.0,10075,432725215,98
2023-02-08,SIB,DTL,43155.0,4370,188588695,39
2023-02-08,SIB,DTM,41289.0,6955,287162460,67
2023-02-08,SIB,DTZ,48243.0,11050,533090415,138
2023-02-09,DAL,DTL,60052.0,0,0,0
2023-02-09,DAL,DTM,0.0,0,0,0
2023-02-09,DAL,DTZ,51498.0,10660,548965950,132
2023-02-09,EVR,DTL,43104.0,5520,237935945,41
2023-02-09,EVR,DTM,42163.0,23530,992089735,223
2023-02-09,EVR,DTZ,44215.0,9750,431091635,101
2023-02-09,SIB,DTL,43978.0,4070,178991250,32
2023-02-09,SIB,DTM,42125.0,6370,268338460,68
2023-02-09,SIB,DTZ,49163.0,10790,530469095,126
2023-02-10,DAL,DTL,60052.0,0,0,0
2023-02-10,DAL,DTM,0.0,0,0,0
2023-02-10,DAL,DTZ,50590.0,10530,532712440,119
2023-02-10,EVR,DTL,44020.0,8430,371092530,56
2023-02-10,EVR,DTM,42594.0,18655,794584635,183
2023-02-10,EVR,DTZ,44599.0,10465,466727300,87
2023-02-10,SIB,DTL,44637.0,3950,176315550,34
2023-02-10,SIB,DTM,41706.0,7085,295489155,66
2023-02-10,SIB,DTZ,47710.0,11375,542701965,117
2023-02-13,DAL,DTL,60052.0,0,0,0
2023-02-13,DAL,DTM,0.0,0,0,0
2023-02-13,DAL,DTZ,50935.0,10530,536343145,122
2023-02-13,EVR,DTL,44586.0,8655,385890050,58
2023-02-13,EVR,DTM,42966.0,20410,876944055,206
2023-02-13,EVR,DTZ,44299.0,9685,429033085,90
2023-02-13,SIB,DTL,45004.0,4510,202970010,36
2023-02-13,SIB,DTM,42493.0,6240,265155605,72
2023-02-13,SIB,DTZ,47890.0,12090,578988800,126
2023-02-14,DAL,DTL,60052.0,0,0,0
2023-02-14,DAL,DTM,0.0,0,0,0
2023-02-14,DAL,DTZ,52101.0,10465,545236250,148
2023-02-14,EVR,DTL,44423.0,6715,298302250,45
2023-02-14,EVR,DTM,43858.0,20670,906546940,217
2023-02-14,EVR,DTZ,44421.0,9230,410009860,102
2023-02-14,SIB,DTL,45356.0,3600,163281180,35
2023-02-14,SIB,DTM,43377.0,6695,290406870,81
2023-02-14,SIB,DTZ,49898.0,10530,525430490,148
